ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,date_of_birth,gender,reelected_mp,former_mp
E14000553,E12000007,Bermondsey and Old Southwark,London,London,England,Borough,2019-12-14 15:39:06.301192,Lab hold,Lab,Labour,"",Neil,Coyle,"",4368,1978-12-30,Male,Yes,Yes
S14000008,S92000003,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,Scotland,County,2019-12-16 12:12:12.163519,Con hold,Con,Conservative,,John,Lamont,Robert,4608,1976-04-15,Male,Yes,Yes
E14000554,E12000001,Berwick-Upon-Tweed,Northumberland,North East,England,County,2019-12-16 11:37:31.07911,Con hold,Con,Conservative,Mrs,Anne-Marie,Trevelyan,Belinda,4531,1969-04-06,Female,Yes,Yes
E14000555,E12000007,Bethnal Green and Bow,London,London,England,Borough,2019-12-14 15:43:25.043313,Lab hold,Lab,Labour,"",Rushanara,Ali,"",4138,1975-03-14,Female,Yes,Yes
E14000556,E12000003,Beverley and Holderness,Humberside,Yorkshire and The Humber,England,County,2019-12-14 15:23:38.401149,Con hold,Con,Conservative,"",Graham,Stuart,Charles,1482,1962-03-12,Male,Yes,Yes
E14000557,E12000008,Bexhill and Battle,East Sussex,South East,England,County,2019-12-14 14:34:08.713298,Con hold,Con,Conservative,"",Huw,Merriman,William,4442,1973-07-13,Male,Yes,Yes
E14000558,E12000007,Bexleyheath and Crayford,London,London,England,Borough,2019-12-16 14:56:49.702212,Con hold,Con,Conservative,"",David,Evennett,Anthony,1198,1949-06-03,Male,Yes,Yes
E14000559,E12000002,Birkenhead,Merseyside,North West,England,Borough,2019-12-14 15:25:59.293046,Lab hold,Lab,Labour,,Mick,Whitley,"",,,Male,No,No
E14000560,E12000005,"Birmingham, Edgbaston",West Midlands,West Midlands,England,Borough,2019-12-16 16:53:59.106254,Lab hold,Lab,Labour and Co-operative,,Preet Kaur,Gill,Kaur,4603,,Female,Yes,Yes
E14000561,E12000005,"Birmingham, Erdington",West Midlands,West Midlands,England,Borough,2019-12-16 17:02:03.301481,Lab hold,Lab,Labour,,Jack,Dromey,Eugene Joseph,3913,1948-09-29,Male,Yes,Yes
E14000562,E12000005,"Birmingham, Hall Green",West Midlands,West Midlands,England,Borough,2019-12-16 16:58:22.868378,Lab hold,Lab,Labour,,Tahir,Ali,"",,,Male,No,No
E14000563,E12000005,"Birmingham, Hodge Hill",West Midlands,West Midlands,England,Borough,2019-12-16 17:00:30.846746,Lab hold,Lab,Labour,"",Liam,Byrne,Dominic,1171,1970-10-02,Male,Yes,Yes
E14000564,E12000005,"Birmingham, Ladywood",West Midlands,West Midlands,England,Borough,2019-12-16 17:03:56.130627,Lab hold,Lab,Labour,"",Shabana,Mahmood,"",3914,1980-09-17,Female,Yes,Yes
E14000565,E12000005,"Birmingham, Northfield",West Midlands,West Midlands,England,Borough,2019-12-16 17:05:03.972657,Con gain from Lab,Con,Conservative,,Gary,Sambrook,William,,,Male,No,No
E14000566,E12000005,"Birmingham, Perry Barr",West Midlands,West Midlands,England,Borough,2019-12-16 17:06:02.000993,Lab hold,Lab,Labour,Mr,Khalid,Mahmood,"",1392,1961-07-13,Male,Yes,Yes
E14000567,E12000005,"Birmingham, Selly Oak",West Midlands,West Midlands,England,Borough,2019-12-16 17:07:02.689667,Lab hold,Lab,Labour,"",Stephen,McCabe,James,298,1955-08-04,Male,Yes,Yes
E14000568,E12000005,"Birmingham, Yardley",West Midlands,West Midlands,England,Borough,2019-12-16 17:08:19.199528,Lab hold,Lab,Labour,,Jess,Phillips,Rose,4370,1981-10-09,Female,Yes,Yes
E14000569,E12000001,Bishop Auckland,Durham,North East,England,County,2019-12-14 15:29:39.256434,Con gain from Lab,Con,Conservative,,Dehenna,Davison,Sheridan,,,Female,No,No
E14000570,E12000002,Blackburn,Lancashire,North West,England,Borough,2019-12-17 14:11:05.556245,Lab hold,Lab,Labour,,Kate,Hollern,Malloy,4363,1955-04-12,Female,Yes,Yes
E14000571,E12000002,Blackley and Broughton,Greater Manchester,North West,England,Borough,2019-12-14 15:27:57.565847,Lab hold,Lab,Labour,"",Graham,Stringer,Eric,449,1950-02-17,Male,Yes,Yes
E14000572,E12000002,Blackpool North and Cleveleys,Lancashire,North West,England,Borough,2019-12-14 15:29:48.38968,Con hold,Con,Conservative,"",Paul,Maynard,Christopher,3926,1975-12-16,Male,Yes,Yes
E14000573,E12000002,Blackpool South,Lancashire,North West,England,Borough,2019-12-14 15:31:39.261132,Con gain from Lab,Con,Conservative,,Scott,Benton,Lloyd,,,Male,No,No
W07000072,W92000004,Blaenau Gwent,Gwent and Mid Glamorgan,Wales,Wales,County,2019-12-16 12:13:45.854978,Lab hold,Lab,Labour,,Nick,Smith,Desmond John,3928,1960-01-14,Male,Yes,Yes
E14000574,E12000001,Blaydon,Tyne and Wear,North East,England,Borough,2019-12-16 11:49:09.47365,Lab hold,Lab,Labour,,Liz,Twist,"",4618,,Female,Yes,Yes
E14000575,E12000001,Blyth Valley,Northumberland,North East,England,Borough,2019-12-16 11:41:38.391779,Con gain from Lab,Con,Conservative,,Ian,Levy,"",,,Male,No,No
E14000576,E12000008,Bognor Regis and Littlehampton,West Sussex,South East,England,County,2019-12-14 14:35:04.1247,Con hold,Con,Conservative,,Nick,Gibb,John,111,1960-09-03,Male,Yes,Yes
E14000577,E12000004,Bolsover,Derbyshire,East Midlands,England,County,2020-01-23 11:11:40.996932,Con gain from Lab,Con,Conservative,,Mark,Fletcher,Peter,,,Male,No,No
E14000578,E12000002,Bolton North East,Greater Manchester,North West,England,Borough,2019-12-16 15:57:03.842766,Con gain from Lab,Con,Conservative,,Mark,Logan,Rory,,,Male,No,No
E14000579,E12000002,Bolton South East,Greater Manchester,North West,England,Borough,2019-12-16 15:58:58.872531,Lab hold,Lab,Labour,"",Yasmin,Qureshi,"",3924,1963-07-05,Female,Yes,Yes
E14000580,E12000002,Bolton West,Greater Manchester,North West,England,County,2019-12-16 16:00:10.917096,Con hold,Con,Conservative,,Chris,Green,James,4398,1973-08-12,Male,Yes,Yes
E14000581,E12000002,Bootle,Merseyside,North West,England,Borough,2019-12-16 15:46:14.96371,Lab hold,Lab,Labour,"",Peter,Dowd,Christopher,4397,1957-06-20,Male,Yes,Yes
E14000582,E12000004,Boston and Skegness,Lincolnshire,East Midlands,England,County,2019-12-14 16:26:55.066967,Con hold,Con,Conservative,,Matt,Warman,Robert,4361,1981-09-01,Male,Yes,Yes
E14000583,E12000004,Bosworth,Leicestershire,East Midlands,England,County,2019-12-14 16:27:53.565172,Con hold,Con,Conservative,Dr,Luke,Evans,"",,,Male,No,No
E14000584,E12000009,Bournemouth East,Dorset,South West,England,Borough,2019-12-14 15:45:13.500375,Con hold,Con,Conservative,Mr,Tobias,Ellwood,Martin,1487,1966-08-12,Male,Yes,Yes
E14000585,E12000009,Bournemouth West,Dorset,South West,England,Borough,2019-12-14 15:47:54.429646,Con hold,Con,Conservative,,Conor,Burns,"",3922,1972-09-24,Male,Yes,Yes
E14000586,E12000008,Bracknell,Berkshire,South East,England,County,2019-12-14 14:36:06.610365,Con hold,Con,Conservative,,James,Sunderland,"",,,Male,No,No
E14000587,E12000003,Bradford East,West Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-14 15:25:14.595932,Lab hold,Lab,Labour,"",Imran,Hussain,"",4394,1978-06-07,Male,Yes,Yes
E14000588,E12000003,Bradford South,West Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-14 15:26:44.52404,Lab hold,Lab,Labour,"",Judith,Cummins,Mary,4391,1967-06-26,Female,Yes,Yes
E14000589,E12000003,Bradford West,West Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-14 15:28:23.505375,Lab hold,Lab,Labour,,Naz,Shah,Akhtar,4409,1973-11-13,Female,Yes,Yes
E14000590,E12000006,Braintree,Essex,East,England,County,2019-12-14 15:05:10.229304,Con hold,Con,Conservative,"",James,Cleverly,Spencer,4366,1969-09-04,Male,Yes,Yes
W07000068,W92000004,Brecon and Radnorshire,Powys,Wales,Wales,County,2019-12-16 15:08:32.854282,Con hold,Con,Conservative,,Fay,Jones,Alicia,,,Female,No,No
E14000591,E12000007,Brent Central,London,London,England,Borough,2019-12-14 15:45:09.847757,Lab hold,Lab,Labour,"",Dawn,Butler,Petula,1489,1969-11-03,Female,Yes,Yes
E14000593,E12000007,Brentford and Isleworth,London,London,England,Borough,2019-12-14 15:47:23.015434,Lab hold,Lab,Labour,"",Ruth,Cadbury,Margaret,4389,1959-05-14,Female,Yes,Yes
E14000592,E12000007,Brent North,London,London,England,Borough,2019-12-14 15:49:51.478348,Lab hold,Lab,Labour,"",Barry,Gardiner,Strachan,146,1957-03-10,Male,Yes,Yes
E14000594,E12000006,Brentwood and Ongar,Essex,East,England,County,2019-12-14 15:07:15.798568,Con hold,Con,Conservative,,Alex,Burghart,"",4613,1977-09-07,Male,Yes,Yes
W07000073,W92000004,Bridgend,Gwent and Mid Glamorgan,Wales,Wales,County,2019-12-16 15:38:32.84322,Con gain from Lab,Con,Conservative,Dr,Jamie,Wallis,"",,,Male,No,No
E14000595,E12000009,Bridgwater and West Somerset,Somerset,South West,England,County,2019-12-16 10:33:09.839829,Con hold,Con,Conservative,Mr,Ian,Liddell-Grainger,Richard Peregrine,1396,1959-02-23,Male,Yes,Yes
E14000596,E12000003,Brigg and Goole,Humberside,Yorkshire and The Humber,England,County,2019-12-16 15:40:46.005065,Con hold,Con,Conservative,"",Andrew,Percy,Theakstone,3939,1977-09-18,Male,Yes,Yes
E14000597,E12000008,"Brighton, Kemptown",East Sussex,South East,England,Borough,2019-12-16 11:10:05.551269,Lab hold,Lab,Labour and Co-operative,"",Lloyd,Russell-Moyle,"",4615,1986-09-14,Male,Yes,Yes
E14000598,E12000008,"Brighton, Pavilion",East Sussex,South East,England,Borough,2019-12-16 11:13:39.260891,Green hold,Green,Green,"",Caroline,Lucas,"",3930,1960-12-09,Female,Yes,Yes
E14000599,E12000009,Bristol East,Avon,South West,England,Borough,2019-12-14 16:21:09.395562,Lab hold,Lab,Labour,,Kerry,McCarthy,Gillian,1491,1965-03-26,Female,Yes,Yes
E14000600,E12000009,Bristol North West,Avon,South West,England,Borough,2019-12-14 16:24:22.880766,Lab hold,Lab,Labour,,Darren,Jones,Paul,4621,1986-11-13,Male,Yes,Yes
E14000601,E12000009,Bristol South,Avon,South West,England,Borough,2019-12-14 16:27:01.592445,Lab hold,Lab,Labour,,Karin,Smyth,Marguerite,4444,1964-09-08,Female,Yes,Yes
E14000602,E12000009,Bristol West,Avon,South West,England,Borough,2019-12-14 16:31:16.043642,Lab hold,Lab,Labour,,Thangam,Debbonaire,Elizabeth Rachel,4433,1966-08-03,Female,Yes,Yes
E14000603,E12000006,Broadland,Norfolk,East,England,County,2019-12-14 15:09:01.775958,Con hold,Con,Conservative,,Jerome,Mayhew,Patrick Burke,,,Male,No,No
E14000604,E12000007,Bromley and Chislehurst,London,London,England,Borough,2019-12-16 12:14:42.880689,Con hold,Con,Conservative,"",Robert,Neill,James MacGillivray,1601,1952-06-24,Male,Yes,Yes
E14000605,E12000005,Bromsgrove,Hereford and Worcester,West Midlands,England,County,2019-12-14 15:39:07.796117,Con hold,Con,Conservative,"",Sajid,Javid,"",3945,1969-12-05,Male,Yes,Yes
E14000606,E12000006,Broxbourne,Hertfordshire,East,England,Borough,2019-12-14 15:09:43.610777,Con hold,Con,Conservative,Mr,Charles,Walker,Ashley Rupert,1493,1967-09-11,Male,Yes,Yes
E14000607,E12000004,Broxtowe,Nottinghamshire,East Midlands,England,County,2019-12-14 16:29:26.075601,Con hold,Con,Conservative,,Darren,Henry,George,,,Male,No,No
E14000608,E12000008,Buckingham,Buckinghamshire,South East,England,County,2019-12-14 14:37:02.606977,Con gain from Spk,Con,Conservative,,Greg,Smith,"",,,Male,No,No
E14000609,E12000002,Burnley,Lancashire,North West,England,Borough,2019-12-17 11:30:26.242677,Con gain from Lab,Con,Conservative,,Antony,Higginbotham,"",,,Male,No,No
E14000610,E12000005,Burton,Staffordshire,West Midlands,England,County,2019-12-14 15:47:33.456417,Con hold,Con,Conservative,,Kate,Griffiths,Elizabeth,,,Female,No,No
E14000611,E12000002,Bury North,Greater Manchester,North West,England,Borough,2019-12-17 12:11:01.242751,Con gain from Lab,Con,Conservative,,James,Daly,Barry,,,Male,No,No
E14000612,E12000002,Bury South,Greater Manchester,North West,England,Borough,2019-12-17 12:12:30.816395,Con gain from Lab,Con,Conservative,,Christian,Wakeford,"",,,Male,No,No
E14000613,E12000006,Bury St Edmunds,Suffolk,East,England,County,2019-12-14 15:10:55.614338,Con hold,Con,Conservative,,Jo,Churchill,Peta,4380,1964-03-18,Female,Yes,Yes
W07000076,W92000004,Caerphilly,Gwent and Mid Glamorgan,Wales,Wales,County,2019-12-16 14:08:03.932548,Lab hold,Lab,Labour,,Wayne,David,"",1398,1957-07-01,Male,Yes,Yes
S14000009,S92000003,"Caithness, Sutherland and Easter Ross",Scotland,Scotland,Scotland,County,2019-12-14 15:47:58.587211,LD hold,LD,Liberal Democrat,,Jamie,Stone,Hume,4612,1954-06-16,Male,Yes,Yes
E14000614,E12000003,Calder Valley,West Yorkshire,Yorkshire and The Humber,England,County,2019-12-14 15:29:33.320904,Con hold,Con,Conservative,"",Craig,Whittaker,"",3940,1962-08-30,Male,Yes,Yes
E14000615,E12000007,Camberwell and Peckham,London,London,England,Borough,2019-12-14 16:02:23.04403,Lab hold,Lab,Labour,Ms,Harriet,Harman,Ruth,150,1950-07-30,Female,Yes,Yes
E14000616,E12000009,Camborne and Redruth,Cornwall,South West,England,County,2019-12-14 16:46:19.250574,Con hold,Con,Conservative,,George,Eustice,Charles,3934,1971-09-28,Male,Yes,Yes
E14000617,E12000006,Cambridge,Cambridgeshire,East,England,Borough,2019-12-16 11:50:05.136229,Lab hold,Lab,Labour,"",Daniel,Zeichner,"",4382,1956-11-09,Male,Yes,Yes
E14000618,E12000005,Cannock Chase,Staffordshire,West Midlands,England,County,2019-12-16 12:36:44.093892,Con hold,Con,Conservative,"",Amanda,Milling,Anne,4454,1975-03-12,Female,Yes,Yes
E14000619,E12000008,Canterbury,Kent,South East,England,County,2019-12-14 14:38:02.180255,Lab hold,Lab,Labour,"",Rosemary,Duffield,Clare,4616,1971-07-01,Female,Yes,Yes
W07000050,W92000004,Cardiff Central,South Glamorgan,Wales,Wales,Borough,2019-12-14 15:32:31.718693,Lab hold,Lab,Labour,,Jo,Stevens,Meriel,4425,1966-09-06,Female,Yes,Yes
W07000051,W92000004,Cardiff North,South Glamorgan,Wales,Wales,Borough,2019-12-14 15:41:12.433073,Lab hold,Lab,Labour,"",Anna,McMorrin,Rhiannon,4632,,Female,Yes,Yes
W07000080,W92000004,Cardiff South and Penarth,South Glamorgan,Wales,Wales,Borough,2019-12-14 15:49:43.141554,Lab hold,Lab,Labour and Co-operative,,Stephen,Doughty,John,4264,1980-04-15,Male,Yes,Yes
W07000079,W92000004,Cardiff West,South Glamorgan,Wales,Wales,Borough,2019-12-14 15:53:33.04048,Lab hold,Lab,Labour,"",Kevin,Brennan,Denis,1400,1959-10-16,Male,Yes,Yes
E14000620,E12000002,Carlisle,Cumbria,North West,England,County,2019-12-14 15:34:44.217562,Con hold,Con,Conservative,,John,Stevenson,"",3942,1963-07-04,Male,Yes,Yes
W07000067,W92000004,Carmarthen East and Dinefwr,Dyfed,Wales,Wales,County,2019-12-16 14:09:17.996602,PC hold,PC,Plaid Cymru,,Jonathan,Edwards,"",3943,1976-04-26,Male,Yes,Yes
W07000066,W92000004,Carmarthen West and South Pembrokeshire,Dyfed,Wales,Wales,County,2019-12-16 12:15:19.726477,Con hold,Con,Conservative,"",Simon,Hart,Anthony,3944,1963-08-15,Male,Yes,Yes
E14000621,E12000007,Carshalton and Wallington,London,London,England,Borough,2019-12-14 16:04:28.798911,Con gain from LD,Con,Conservative,,Elliot,Colburn,"",,,Male,No,No
E14000622,E12000006,Castle Point,Essex,East,England,Borough,2019-12-14 15:11:57.330502,Con hold,Con,Conservative,"",Rebecca,Harris,Elizabeth Scott,3948,1967-12-22,Female,Yes,Yes
S14000010,S92000003,Central Ayrshire,Scotland,Scotland,Scotland,County,2019-12-14 15:55:31.738946,SNP hold,SNP,Scottish National Party,Dr,Philippa,Whitford,"",4385,1958-12-24,Female,Yes,Yes
E14000623,E12000009,Central Devon,Devon,South West,England,County,2020-01-23 11:15:09.774595,Con hold,Con,Conservative,,Mel,Stride,John,3935,1961-09-30,Male,Yes,Yes
E14000624,E12000006,Central Suffolk and North Ipswich,Suffolk,East,England,County,2019-12-14 15:13:10.003154,Con hold,Con,Conservative,Dr,Dan,Poulter,Leonard James,3932,1978-10-30,Male,Yes,Yes
W07000064,W92000004,Ceredigion,Dyfed,Wales,Wales,County,2020-01-29 10:23:03.402264,PC hold,PC,Plaid Cymru,"",Ben,Lake,Morgan,4630,1993-01-22,Male,Yes,Yes
E14000625,E12000004,Charnwood,Leicestershire,East Midlands,England,County,2019-12-14 16:30:23.685416,Con hold,Con,Conservative,"",Edward,Argar,John Comport,4362,1977-12-09,Male,Yes,Yes
E14000626,E12000008,Chatham and Aylesford,Kent,South East,England,County,2019-12-14 14:39:05.871586,Con hold,Con,Conservative,"",Tracey,Crouch,Elizabeth Anne,3950,1975-07-24,Female,Yes,Yes
E14000627,E12000002,Cheadle,Greater Manchester,North West,England,Borough,2019-12-14 15:36:20.300514,Con hold,Con,Conservative,"",Mary,Robinson,Josephine,4406,1955-08-23,Female,Yes,Yes
E14000628,E12000006,Chelmsford,Essex,East,England,Borough,2019-12-14 15:15:00.19889,Con hold,Con,Conservative,,Vicky,Ford,Grace,4674,1967-09-21,Female,Yes,Yes
E14000629,E12000007,Chelsea and Fulham,London,London,England,Borough,2019-12-14 16:10:55.737501,Con hold,Con,Conservative,,Greg,Hands,William,1526,1965-11-14,Male,Yes,Yes
E14000630,E12000009,Cheltenham,Gloucestershire,South West,England,Borough,2019-12-16 12:16:10.659684,Con hold,Con,Conservative,,Alex,Chalk,"",4481,1976-08-08,Male,Yes,Yes
E14000631,E12000008,Chesham and Amersham,Buckinghamshire,South East,England,County,2019-12-14 14:40:09.617826,Con hold,Con,Conservative,Mrs,Cheryl,Gillan,Elise Kendall,18,1952-04-21,Female,Yes,Yes
E14000632,E12000004,Chesterfield,Derbyshire,East Midlands,England,Borough,2019-12-16 12:17:36.885054,Lab hold,Lab,Labour,,Toby,Perkins,Matthew,3952,1970-08-12,Male,Yes,Yes
E14000633,E12000008,Chichester,West Sussex,South East,England,County,2019-12-14 14:40:55.936029,Con hold,Con,Conservative,"",Gillian,Keegan,"",4680,,Female,Yes,Yes
E14000634,E12000007,Chingford and Woodford Green,London,London,England,County,2019-12-16 12:18:33.050348,Con hold,Con,Conservative,Mr,Iain,Duncan Smith,"",152,1954-04-09,Male,Yes,Yes
E14000635,E12000009,Chippenham,Wiltshire,South West,England,County,2019-12-17 11:11:25.41439,Con hold,Con,Conservative,"",Michelle,Donelan,Emma May Elizabeth,4530,1984-04-08,Female,Yes,Yes
E14000636,E12000007,Chipping Barnet,London,London,England,Borough,2019-12-17 11:53:29.78505,Con hold,Con,Conservative,Mrs,Theresa,Villiers,Anne,1500,1968-03-05,Female,Yes,Yes
E14000637,E12000002,Chorley,Lancashire,North West,England,County,2020-01-28 12:48:16.842788,Spk gain from Lab,Spk,Speaker,Sir,Lindsay,Hoyle,Harvey,467,1957-06-10,Male,Yes,Yes
E14000638,E12000009,Christchurch,Dorset,South West,England,County,2019-12-14 16:37:51.613053,Con hold,Con,Conservative,Mr,Christopher,Chope,Robert,242,1947-05-19,Male,Yes,Yes
E14000639,E12000007,Cities Of London and Westminster,London,London,England,Borough,2019-12-16 12:22:02.049566,Con hold,Con,Conservative,,Nickie,Aiken,"",,,Female,No,No
E14000640,E12000002,City Of Chester,Cheshire,North West,England,County,2019-12-16 15:49:46.841505,Lab hold,Lab,Labour,"",Christian,Matheson,John Patrick,4408,1968-01-02,Male,Yes,Yes
